num_dupli;cod_cli;data_compra;vencimento;pagamento;valor; diferenca ;v_final;status
4;1;12/06/2022;12/07/2022;2022-07-12; R$ 150,00 ; R$ -   ; R$ 150,00 ;Quitado
5;1;12/06/2022;11/08/2022;2022-08-11; R$ 150,00 ; R$ -   ; R$ 150,00 ;Quitado
1;2;12/07/2022;11/08/2022;2022-08-01; R$ 200,00 ; R$ 20,00 ; R$ 180,00 ;Quitado
2;2;12/07/2022;10/09/2022;NULL; R$ 200,00 ; NULL ; R$ 200,00 ;Em aberto
3;2;12/07/2022;10/10/2022;NULL; R$ 200,00 ; NULL ; R$ 200,00 ;Em aberto
6;2;13/04/2022;13/05/2022;2022-05-13; R$ 120,00 ; R$ -   ; R$ 120,00 ;Quitado
7;2;13/04/2022;12/06/2022;2022-06-12; R$ 120,00 ; R$ -   ; R$ 120,00 ;Quitado
8;2;13/04/2022;12/07/2022;2022-07-12; R$ 120,00 ; R$ -   ; R$ 120,00 ;Quitado
9;2;13/04/2022;11/08/2022;2022-08-11; R$ 120,00 ; R$ -   ; R$ 120,00 ;Quitado
10;3;11/08/2022;10/09/2022;NULL; R$ 200,00 ; NULL ; R$ 200,00 ;Em aberto
11;3;11/08/2022;17/08/2022;NULL; R$ 200,00 ; NULL ; R$ 200,00 ;Vencido
12;3;11/08/2022;09/11/2022;NULL; R$ 200,00 ; NULL ; R$ 200,00 ;Em aberto
10;3;11/08/2022;10/09/2022;NULL; R$ 200,00 ; NULL ; R$ 200,00 ;Em aberto
11;3;11/08/2022;10/10/2022;NULL; R$ 200,00 ; NULL ; R$ 200,00 ;Em aberto
12;3;11/08/2022;09/11/2022;NULL; R$ 200,00 ; NULL ; R$ 200,00 ;Em aberto
13;4;11/08/2022;10/09/2022;NULL; R$ 150,00 ; NULL ; R$ 150,00 ;Em aberto
14;4;11/08/2022;10/10/2022;NULL; R$ 150,00 ; NULL ; R$ 150,00 ;Em aberto
15;4;11/08/2022;09/11/2022;NULL; R$ 150,00 ; NULL ; R$ 150,00 ;Em aberto
16;5;11/08/2022;10/09/2022;NULL; R$ 125,00 ; NULL ; R$ 125,00 ;Em aberto
17;5;11/08/2022;10/10/2022;NULL; R$ 125,00 ; NULL ; R$ 125,00 ;Em aberto
18;5;11/08/2022;09/11/2022;NULL; R$ 125,00 ; NULL ; R$ 125,00 ;Em aberto
19;6;11/08/2022;10/09/2022;NULL; R$ 180,00 ; NULL ; R$ 180,00 ;Em aberto
20;6;11/08/2022;10/10/2022;NULL; R$ 180,00 ; NULL ; R$ 180,00 ;Em aberto
21;6;11/08/2022;09/11/2022;NULL; R$ 180,00 ; NULL ; R$ 180,00 ;Em aberto
19;6;11/08/2022;10/09/2022;NULL; R$ 180,00 ; NULL ; R$ 180,00 ;Em aberto
20;6;11/08/2022;10/10/2022;NULL; R$ 180,00 ; NULL ; R$ 180,00 ;Em aberto
21;6;11/08/2022;09/11/2022;NULL; R$ 180,00 ; NULL ; R$ 180,00 ;Em aberto
22;7;11/08/2022;10/09/2022;NULL; R$ 500,00 ; NULL ; R$ 500,00 ;Em aberto
23;7;11/08/2022;10/10/2022;NULL; R$ 500,00 ; NULL ; R$ 500,00 ;Em aberto
24;7;11/08/2022;09/11/2022;NULL; R$ 500,00 ; NULL ; R$ 500,00 ;Em aberto
